gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,exchg,cik,costat,weburl,twitterurl,0/1 twitter,facebook,0/1 facebook,linkedin,0/1 linkedin,youtube,0/1 youtube
1004,5/31/2015,2014,INDL,C,D,STD,AIR,361105,AAR CORP,USD,11,1750,A,www.aarcorp.com,https://twitter.com/AARCORP,1,https://www.facebook.com/AARCORP,1,http://www.linkedin.com/company/aar-corp,1,http://www.youtube.com/user/AARCORPNEWS,1
1045,12/31/2015,2015,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,14,6201,A,www.aa.com,http://twitter.com/americanair,1,http://facebook.com/aa,1,no url,0,http://youtube.com/americanairlines,1
1050,12/31/2015,2015,INDL,C,D,STD,CECE,125141101,CECO ENVIRONMENTAL CORP,USD,14,3197,A,www.cecoenviro.com,no twitter provided,0,no url,0,https://www.linkedin.com/company/ceco-environmental,1,no url,0
1062,11/30/2015,2015,INDL,C,D,STD,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,1230869,A,www.asaltd.com,no twitter provided,0,no url,0,no url,0,no url,0
1072,3/31/2015,2014,INDL,C,D,STD,AVX,2444107,AVX CORP,USD,11,859163,A,www.avx.com,https://twitter.com/AVXCorp,1,https://www.facebook.com/avxcorporation,1,https://www.linkedin.com/company/avx,1,https://www.youtube.com/embed/https://youtu.be/q2rHHupiCpM?rel=0&showinfo=0&autoplay=1?iframe=true&width=800&height=600,1
1075,12/31/2015,2015,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,11,764622,A,www.pinnaclewest.com,no twitter provided,0,no url,0,no url,0,no url,0
1076,12/31/2015,2015,INDL,C,D,STD,AAN,2535300,AARON'S INC,USD,11,706688,A,www.aarons.com,no twitter provided,0,no url,0,no url,0,no url,0
1078,12/31/2015,2015,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,11,1800,A,www.abbott.com,https://twitter.com/abbottglobal,1,https://www.facebook.com/Abbott,1,https://www.linkedin.com/pulse/have-heart-miles-d-white?trk=prof-post.html,1,https://www.youtube.com/c/abbott,1
1084,12/31/2015,2015,INDL,C,D,STD,WDDD,98159J101,WORLDS INC,USD,19,1961,A,www.worlds.com,no twitter provided,0,no url,0,no url,0,no url,0
1094,6/30/2015,2015,INDL,C,D,STD,ACET,4446100,ACETO CORP,USD,14,2034,A,www.aceto.com,no twitter provided,0,no url,0,no url,0,no url,0
1097,12/31/2015,2015,INDL,C,D,STD,ACMTA,4616207,ACMAT CORP  -CL A,USD,19,2062,A,www.acmatcorp.com,no twitter provided,0,no url,0,no url,0,no url,0
1104,12/31/2015,2015,INDL,C,D,STD,ACU,4816104,ACME UNITED CORP,USD,12,2098,A,www.acmeunited.com,no twitter provided,0,no url,0,no url,0,no url,0
1117,12/31/2015,2015,INDL,C,D,STD,RWC,759525108,RELM WIRELESS CORP,USD,12,2186,A,www.relm.com,no twitter provided,0,https://www.facebook.com/RelmWirelessCorp,1,no url,0,no url,0
1119,12/31/2015,2015,INDL,C,D,STD,ADX,6212104,ADAMS DIVERSIFIED EQUITY FD,USD,11,2230,A,www.adamsfunds.com,no twitter provided,0,no url,0,https://www.linkedin.com/company/adams-funds,1,no url,0
1121,12/31/2015,2015,INDL,C,D,STD,AE,6351308,ADAMS RESOURCES & ENERGY INC,USD,12,2178,A,www.adamsresources.com,no twitter provided,0,no url,0,no url,0,no url,0
1161,12/31/2015,2015,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,14,2488,A,www.amd.com,https://twitter.com/amd,1,http://www.facebook.com/amd,1,http://www.linkedin.com/company/amd,1,https://www.youtube.com/user/amd?sub_confirmation=1,1
1166,12/31/2015,2015,INDL,C,D,STD,ASMIY,N07045102,ASM INTERNATIONAL NV,USD,19,351483,A,www.asm.com,no twitter provided,0,no url,0,no url,0,no url,0
